Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Denver,Weekly,"2020-01-26 00:00:00","Conventional ",0.960000000,1060946.24,208756.18,141652.53,3678.52,706859.01,221467.28,471526.40,13865.33
Denver,Weekly,"2020-01-19 00:00:00","Conventional ",0.840000000,1129506.04,202819.36,165783.99,3077.37,757825.32,243454.01,502996.55,11374.76
Denver,Weekly,"2020-01-12 00:00:00","Conventional ",1.070000000,843040.70,206629.28,103376.22,3909.59,529125.61,203294.84,310622.35,15208.42
Denver,Weekly,"2020-01-05 00:00:00","Conventional ",0.950000000,1037906.96,197120.84,165448.03,4322.79,671015.30,182894.87,477921.99,10198.44
Detroit,Weekly,"2020-01-26 00:00:00","Conventional ",0.910000000,557814.72,78373.26,35068.33,38535.97,405837.16,353626.30,47169.69,5041.17
Detroit,Weekly,"2020-01-19 00:00:00","Conventional ",0.860000000,622423.15,122634.89,72828.44,114357.99,312601.83,249611.28,49631.53,13359.02
Detroit,Weekly,"2020-01-12 00:00:00","Conventional ",0.800000000,645737.10,153854.08,39839.62,45375.29,406668.11,379707.18,20315.86,6645.07
Detroit,Weekly,"2020-01-05 00:00:00","Conventional ",0.820000000,527800.24,141345.14,51567.73,79314.16,255573.21,231551.54,18144.61,5877.06
"Grand Rapids",Weekly,"2020-01-26 00:00:00","Conventional ",1.050000000,218922.97,5116.95,42352.16,41156.05,130297.81,116732.28,5589.27,7976.26
"Grand Rapids",Weekly,"2020-01-19 00:00:00","Conventional ",1.140000000,247192.60,4615.63,84297.77,104035.36,54243.84,26839.12,5649.69,21755.03
"Grand Rapids",Weekly,"2020-01-12 00:00:00","Conventional ",1.430000000,183161.26,5848.55,64138.62,49148.25,64025.84,48216.69,6114.16,9694.99
"Grand Rapids",Weekly,"2020-01-05 00:00:00","Conventional ",1.130000000,220500.51,4684.77,83359.20,84719.36,47737.18,27827.45,4958.43,14951.30
"Great Lakes",Weekly,"2020-01-26 00:00:00","Conventional ",0.990000000,4416435.78,760788.49,685319.62,205299.16,2765028.51,2043371.53,682694.51,38962.47
"Great Lakes",Weekly,"2020-01-19 00:00:00","Conventional ",0.910000000,4936833.20,904418.57,1159011.14,493120.76,2380282.73,1680235.90,623997.36,76049.47
"Great Lakes",Weekly,"2020-01-12 00:00:00","Conventional ",0.930000000,4726454.07,981127.81,673015.44,241973.86,2830336.96,2166106.07,617586.29,46644.60
"Great Lakes",Weekly,"2020-01-05 00:00:00","Conventional ",0.890000000,4498529.52,949568.49,880856.09,370879.95,2297224.99,1581935.33,668199.79,47089.87
Harrisburg/Scranton,Weekly,"2020-01-26 00:00:00","Conventional ",0.930000000,403323.15,68397.20,201123.05,771.61,133031.29,107699.55,21273.96,4057.78
Harrisburg/Scranton,Weekly,"2020-01-19 00:00:00","Conventional ",1.010000000,386397.87,75036.54,177894.77,963.35,132503.21,110748.25,17301.62,4453.34
Harrisburg/Scranton,Weekly,"2020-01-12 00:00:00","Conventional ",0.980000000,392328.45,61102.94,185881.78,536.55,144807.18,121206.14,19758.82,3842.22
Harrisburg/Scranton,Weekly,"2020-01-05 00:00:00","Conventional ",0.990000000,394956.19,66879.49,226458.48,598.35,101019.87,81236.56,16452.20,3331.11
Hartford/Springfield,Weekly,"2020-01-26 00:00:00","Conventional ",1.370000000,348108.88,7519.14,254872.55,835.42,84881.77,58984.56,24127.21,1770.00
Hartford/Springfield,Weekly,"2020-01-19 00:00:00","Conventional ",1.390000000,357087.88,8394.92,272171.62,1143.16,75378.18,58441.96,15052.88,1883.34
Hartford/Springfield,Weekly,"2020-01-12 00:00:00","Conventional ",1.410000000,357414.94,7798.07,266175.83,634.64,82806.40,56898.48,24190.15,1717.77
Hartford/Springfield,Weekly,"2020-01-05 00:00:00","Conventional ",1.380000000,395520.35,8256.41,317659.39,713.51,68891.04,48984.24,18413.47,1493.33
Houston,Weekly,"2020-01-26 00:00:00","Conventional ",0.700000000,1365359.58,536849.38,168787.66,1306.17,658416.37,301266.43,344175.15,12974.79
Houston,Weekly,"2020-01-19 00:00:00","Conventional ",0.680000000,1474122.53,514989.56,207755.96,1161.25,750215.76,542119.44,195876.12,12220.20
Houston,Weekly,"2020-01-12 00:00:00","Conventional ",0.700000000,1501410.36,600480.98,226169.56,1302.71,673457.11,307721.52,353461.57,12274.02
Houston,Weekly,"2020-01-05 00:00:00","Conventional ",0.700000000,1441237.76,602142.82,339235.27,1222.90,498636.77,274664.88,213659.44,10312.45
Indianapolis,Weekly,"2020-01-26 00:00:00","Conventional ",0.900000000,279908.91,69234.01,27993.05,4066.17,178615.68,147772.73,29474.43,1368.52
Indianapolis,Weekly,"2020-01-19 00:00:00","Conventional ",0.740000000,331424.49,83627.42,67946.38,5553.27,174297.42,162388.61,11644.11,264.70
Indianapolis,Weekly,"2020-01-12 00:00:00","Conventional ",0.780000000,309427.72,85065.04,27665.70,4050.20,192646.78,183240.08,8292.21,1114.49
Indianapolis,Weekly,"2020-01-05 00:00:00","Conventional ",0.760000000,289110.15,82921.74,40007.70,4887.40,161293.31,151150.46,9542.14,600.71
Jacksonville,Weekly,"2020-01-26 00:00:00","Conventional ",0.910000000,308177.73,109216.78,10557.46,1304.22,187099.27,48546.94,138552.33,0.00
Jacksonville,Weekly,"2020-01-19 00:00:00","Conventional ",0.900000000,303720.63,134659.53,10924.29,1171.82,156964.99,47738.92,109222.74,3.33
Jacksonville,Weekly,"2020-01-12 00:00:00","Conventional ",0.910000000,296838.69,111435.27,10739.60,1030.15,173633.67,106181.58,67452.09,0.00
Jacksonville,Weekly,"2020-01-05 00:00:00","Conventional ",0.900000000,302972.47,133727.65,10458.28,1061.91,157724.63,46967.54,110757.09,0.00
"Las Vegas",Weekly,"2020-01-26 00:00:00","Conventional ",1.050000000,306793.82,68324.14,56618.91,746.98,181103.79,83259.65,97803.01,41.13
"Las Vegas",Weekly,"2020-01-19 00:00:00","Conventional ",0.730000000,527011.95,73866.77,152454.98,804.54,299885.66,97451.41,202399.35,34.90
"Las Vegas",Weekly,"2020-01-12 00:00:00","Conventional ",0.960000000,390807.00,63853.47,51976.55,705.28,274271.70,79962.12,194298.95,10.63
"Las Vegas",Weekly,"2020-01-05 00:00:00","Conventional ",0.920000000,386024.55,62806.47,55204.41,663.88,267349.79,68297.25,197942.54,1110.00
"Los Angeles",Weekly,"2020-01-26 00:00:00","Conventional ",1.140000000,2875214.61,924713.45,67657.52,129678.17,1753165.47,966418.27,630555.66,156191.54
"Los Angeles",Weekly,"2020-01-19 00:00:00","Conventional ",0.940000000,3550567.39,912777.00,94768.97,144701.60,2398319.82,925745.22,1155547.03,317027.57
"Los Angeles",Weekly,"2020-01-12 00:00:00","Conventional ",1.090000000,3125806.23,929495.05,65983.52,106686.72,2023640.94,1035672.99,765986.23,221981.72
"Los Angeles",Weekly,"2020-01-05 00:00:00","Conventional ",1.050000000,3067211.90,913991.69,62160.47,154399.03,1936660.71,970448.74,624012.51,342199.46
Louisville,Weekly,"2020-01-26 00:00:00","Conventional ",0.990000000,131426.15,31673.97,10369.95,92.70,89289.53,65384.58,23904.95,0.00
Louisville,Weekly,"2020-01-19 00:00:00","Conventional ",0.820000000,164601.85,42205.51,20208.21,288.32,101899.81,81295.70,20588.56,15.55
Louisville,Weekly,"2020-01-12 00:00:00","Conventional ",0.800000000,153618.29,47379.72,10750.19,218.51,95269.87,75156.83,20107.74,5.30
Louisville,Weekly,"2020-01-05 00:00:00","Conventional ",0.910000000,133723.06,37889.03,12970.92,235.26,82627.85,63615.48,19005.70,6.67
"Miami/Ft. Lauderdale",Weekly,"2020-01-26 00:00:00","Conventional ",0.910000000,1258435.50,529801.85,43559.31,5362.31,679712.03,167858.07,511840.63,13.33
"Miami/Ft. Lauderdale",Weekly,"2020-01-19 00:00:00","Conventional ",0.920000000,1257729.06,514169.79,37948.22,5544.74,700066.31,145738.94,552614.04,1713.33
"Miami/Ft. Lauderdale",Weekly,"2020-01-12 00:00:00","Conventional ",0.900000000,1243129.55,485948.99,38688.68,4508.81,713983.07,157103.39,556861.91,17.77
"Miami/Ft. Lauderdale",Weekly,"2020-01-05 00:00:00","Conventional ",0.900000000,1285675.89,485437.81,37424.37,4562.05,758251.66,203973.38,554262.06,16.22
Midsouth,Weekly,"2020-01-26 00:00:00","Conventional ",1.050000000,4280577.67,1158028.26,900107.29,20263.37,2202178.75,1498664.37,694687.99,8826.39
Midsouth,Weekly,"2020-01-19 00:00:00","Conventional ",0.980000000,4587929.47,1242617.68,916600.43,18909.85,2409801.51,1839442.77,562314.10,8044.64
Midsouth,Weekly,"2020-01-12 00:00:00","Conventional ",1.020000000,4183793.45,1161391.39,861895.98,20223.30,2140282.78,1548896.35,582323.13,9063.30
Midsouth,Weekly,"2020-01-05 00:00:00","Conventional ",0.970000000,4219760.75,1270816.41,1038403.45,26093.88,1884447.01,1348348.83,529261.39,6836.79
Nashville,Weekly,"2020-01-26 00:00:00","Conventional ",0.820000000,311469.94,130795.42,7401.62,401.17,172871.73,147486.59,24903.99,481.15
